,ID,Name,Age,Nationality,Club,Value,Wage,Preferred Foot,Joined,
0,158023,L. Messi,31,Argentina,FC Barcelona,€110.5M,€565K,Left,"Jul 1, 2004",
1,20801,Cristiano Ronaldo,33,Portugal,Juventus,€77M,€405K,Right,"Jul 10, 2018",
2,190871,Neymar Jr,26,Brazil,Paris Saint-Germain,€118.5M,€290K,Right,"Aug 3, 2017",
3,193080,De Gea,27,Spain,Manchester United,€72M,€260K,Right,"Jul 1, 2011",
4,192985,K. De Bruyne,27,Belgium,Manchester City,€102M,€355K,Right,"Aug 30, 2015",
5,183277,E. Hazard,27,Belgium,Chelsea,€93M,€340K,Right,"Jul 1, 2012",
6,177003,L. Modrić,32,Croatia,Real Madrid,€67M,€420K,Right,"Aug 1, 2012",
7,176580,L. Suárez,31,Uruguay,FC Barcelona,€80M,€455K,Right,"Jul 11, 2014",
8,155862,Sergio Ramos,32,Spain,Real Madrid,€51M,€380K,Right,"Aug 1, 2005",
9,200389,J. Oblak,25,Slovenia,Atlético Madrid,€68M,€94K,Right,"Jul 16, 2014",
10,188545,R. Lewandowski,29,Poland,FC Bayern München,€77M,€205K,Right,"Jul 1, 2014",
11,182521,T. Kroos,28,Germany,Real Madrid,€76.5M,€355K,Right,"Jul 17, 2014",
12,182493,D. Godín,32,Uruguay,Atlético Madrid,€44M,€125K,Right,"Aug 4, 2010",
13,168542,David Silva,32,Spain,Manchester City,€60M,€285K,Left,"Jul 14, 2010",
14,215914,N. Kanté,27,France,Chelsea,€63M,€225K,Right,"Jul 16, 2016",
15,211110,P. Dybala,24,Argentina,Juventus,€89M,€205K,Left,"Jul 1, 2015",
16,202126,H. Kane,24,England,Tottenham Hotspur,€83.5M,€205K,Right,"Jul 1, 2010",
17,194765,A. Griezmann,27,France,Atlético Madrid,€78M,€145K,Left,"Jul 28, 2014",
18,192448,M. ter Stegen,26,Germany,FC Barcelona,€58M,€240K,Right,"Jul 1, 2014",
